13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
13,0,1,1,1,2,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1,7,4,4,4,6,1,2,13,13,13,0,1,1,1,2,13,13,13,13
4,4,4,4,4,4,4,6,2,0,1,7,4,4,4,5,13,13,13,13
4,4,4,4,4,4,4,4,6,7,4,4,4,4,4,6,2,13,13,13
11,11,11,11,11,9,4,4,4,4,4,4,4,4,4,4,6,2,13,13
13,13,13,13,13,3,4,4,4,4,4,4,4,4,4,4,4,5,13,13
13,13,13,13,13,10,9,4,4,4,4,4,4,4,4,4,4,5,13,13
13,13,13,13,13,0,7,4,4,4,4,4,4,4,4,4,4,5,13,13
13,13,13,13,13,3,4,4,4,4,4,4,4,4,4,4,4,5,13,13
13,13,13,0,1,7,4,4,4,4,4,4,4,4,4,4,4,5,13,13
0,1,1,7,4,4,4,4,4,4,4,4,4,4,4,4,4,5,13,13
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,12,13,13
10,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,13,13,13
13,10,11,11,11,11,9,4,4,4,4,4,4,4,4,4,5,13,13,13
13,13,13,13,13,13,10,11,11,11,11,11,11,11,11,11,12,0,1,1
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,3,4,4
13,13,13,13,13,13,13,13,13,13,13,13,0,1,1,1,1,7,4,4
13,13,13,13,13,13,13,13,13,13,13,13,3,4,4,4,4,4,4,4
13,13,13,13,13,13,13,13,13,13,13,13,3,4,4,4,4,4,4,4
